,typeId,country,industry,objectives,tool,vulnerability,action,records_affected,unauthorized_result,monetary_loss,cluster
885,health-885,US,Medical,null,null,null,Physical Theft,10793,Theft of Resources,null,3
895,health-895,US,Medical,null,null,null,Physical Theft,1000,Theft of Resources,null,3
933,health-933,US,Medical,null,null,null,Physical Theft,1030,Theft of Resources,null,3
967,health-967,US,Medical,null,null,null,null,11000000,null,null,3
985,health-985,US,Medical,null,null,null,null,10946,null,null,3
1004,health-1004,US,Medical,null,null,null,null,1000,null,null,3
1013,health-1013,US,Medical,null,null,null,null,1100000,null,null,3
1034,health-1034,US,Medical,null,null,null,null,1029,null,null,3
1050,health-1050,US,Medical,null,null,null,Physical Loss,1006,null,null,3
1061,health-1061,US,Medical,null,null,null,null,10000,null,null,3
1070,health-1070,US,Medical,null,null,null,null,10000000,null,null,3
1076,health-1076,US,Medical,null,null,null,Physical Theft,1009,Theft of Resources,null,3
1078,health-1078,US,Medical,null,null,null,null,1173,null,null,3
1080,health-1080,US,Medical,null,null,null,Physical Theft,1125,Theft of Resources,null,3
1083,health-1083,US,Medical,null,null,null,Physical Theft,1040,Theft of Resources,null,3
1089,health-1089,US,Medical,null,null,null,null,11100,null,null,3
1092,health-1092,US,Medical,null,null,null,Physical Theft,1134,Theft of Resources,null,3
1103,health-1103,US,Medical,null,null,null,null,1064,null,null,3
1109,health-1109,US,Medical,null,null,null,null,11000,null,null,3
1123,health-1123,US,Medical,null,null,null,null,1009,null,null,3
1150,health-1150,US,Medical,null,null,null,null,1024,null,null,3
1160,health-1160,US,Medical,null,null,null,null,1154,null,null,3
1179,health-1179,US,Medical,null,null,null,null,1000,null,null,3
1184,health-1184,US,Medical,null,null,null,Physical Theft,1032,Theft of Resources,null,3
1193,health-1193,US,Medical,null,null,null,null,1000,null,null,3
1232,health-1232,US,Medical,null,null,null,null,1100,null,null,3
1234,health-1234,US,Medical,null,null,null,Physical Theft,1136,Theft of Resources,null,3
1248,health-1248,US,Medical,null,null,null,null,10401,null,null,3
1259,health-1259,US,Medical,null,null,null,Physical Theft,1025,Theft of Resources,null,3
1263,health-1263,US,Medical,null,null,null,Physical Loss,1000,null,null,3
1265,health-1265,US,Medical,null,null,null,null,1000,null,null,3
1267,health-1267,US,Medical,null,null,null,null,10700,null,null,3
1283,health-1283,US,Medical,null,null,null,null,1000,null,null,3
1289,health-1289,US,Medical,null,null,null,null,10891,null,null,3
1302,prdb-9,US,Finance,null,null,null,null,0,null,null,3
1303,prdb-10,US,Finance,null,null,Physical Partner,null,0,null,null,3
1304,prdb-11,US,Finance,null,null,null,null,0,null,null,3
1307,prdb-14,US,Finance,null,null,null,Physical Theft,0,null,null,3
1311,prdb-18,US,Finance,null,null,null,Physical Theft,100000,null,null,3
1316,prdb-23,US,Finance,null,null,null,null,1000,null,null,3
1325,prdb-32,US,Finance,null,null,null,null,0,null,null,3
1328,prdb-35,US,Finance,null,null,null,Physical Theft,0,null,null,3
1329,prdb-36,US,Finance,null,null,null,null,1000,null,null,3
1330,prdb-37,US,Finance,null,null,null,null,0,null,null,3
1331,prdb-38,US,Finance,null,null,null,null,0,null,null,3
1338,prdb-45,US,Finance,null,null,null,null,0,null,null,3
1339,prdb-46,US,Finance,null,null,null,null,10500,null,null,3
1343,prdb-50,US,Finance,null,null,null,null,0,null,null,3
1352,prdb-59,US,Finance,null,null,null,Physical Theft,0,null,null,3
1358,prdb-65,US,Finance,null,null,null,null,1122,null,null,3
1367,prdb-74,US,Finance,null,null,null,null,0,null,null,3
1368,prdb-75,US,Finance,null,null,null,null,112270,null,null,3
1373,prdb-80,US,Finance,null,null,null,null,0,null,null,3
1376,prdb-83,US,Finance,null,null,null,null,0,null,null,3
1379,prdb-86,US,Finance,null,null,null,null,0,null,null,3
1380,prdb-87,US,Finance,null,null,null,Physical Theft,0,null,null,3
1383,prdb-90,US,Finance,null,null,null,null,11,null,null,3
1390,prdb-97,US,Finance,null,null,null,null,0,null,null,3
1393,prdb-100,US,Finance,null,null,null,null,11,null,null,3
1397,prdb-104,US,Finance,null,null,null,null,0,null,null,3
1399,prdb-106,US,Finance,null,null,null,null,0,null,null,3
1402,prdb-109,US,Finance,null,null,null,null,0,null,null,3
1406,prdb-113,US,Finance,null,null,null,null,1000,null,null,3
1409,prdb-116,US,Finance,null,null,null,null,0,null,null,3
1414,prdb-121,US,Finance,null,null,null,null,0,null,null,3
1423,prdb-130,US,Finance,null,null,null,null,10500,null,null,3
1430,prdb-137,US,Finance,null,null,null,null,1000,null,null,3
1441,prdb-148,US,Finance,null,null,null,null,0,null,null,3
1442,prdb-149,US,Finance,null,null,null,null,0,null,null,3
1446,prdb-153,US,Finance,null,null,null,null,0,null,null,3
1447,prdb-154,US,Finance,null,null,null,null,0,null,null,3
1451,prdb-158,US,Finance,null,null,null,null,0,null,null,3
1453,prdb-160,US,Finance,null,null,null,null,0,null,null,3
1455,prdb-162,US,Finance,null,null,null,null,0,null,null,3
1470,prdb-177,US,Finance,null,null,null,null,0,null,null,3
1479,prdb-186,US,Finance,null,null,null,null,0,null,null,3
1486,prdb-193,US,Finance,null,null,null,null,0,null,null,3
1490,prdb-197,US,Finance,null,null,null,null,0,null,null,3
1494,prdb-201,US,Finance,null,null,null,null,0,null,null,3
1497,prdb-204,US,Finance,null,null,null,null,0,null,null,3
1503,prdb-210,US,Finance,null,null,null,null,0,null,null,3
1508,prdb-215,US,Finance,null,null,null,null,0,null,null,3
1509,prdb-216,US,Finance,null,null,null,null,0,null,null,3
1514,prdb-221,US,Finance,null,null,null,null,0,null,null,3
1515,prdb-222,US,Finance,null,null,null,null,0,null,null,3
1516,prdb-223,US,Finance,null,null,null,null,0,null,null,3
1517,prdb-224,US,Finance,null,null,null,null,0,null,null,3
1518,prdb-225,US,Finance,null,null,null,null,0,null,null,3
1521,prdb-228,US,Finance,null,null,null,null,0,null,null,3
1522,prdb-229,US,Finance,null,null,null,null,0,null,null,3
1523,prdb-230,US,Finance,null,null,null,null,0,null,null,3
1525,prdb-232,US,Finance,null,null,null,Physical Loss,0,null,null,3
1526,prdb-233,US,Finance,null,null,null,Physical Loss,10219,null,null,3
1530,prdb-237,US,Finance,null,null,null,null,1000,null,null,3
1531,prdb-238,US,Finance,null,null,null,null,0,null,null,3
1534,prdb-241,US,Finance,null,null,null,null,0,null,null,3
1538,prdb-245,US,Finance,null,null,null,null,0,null,null,3
1539,prdb-246,US,Finance,null,null,null,Physical Theft,0,null,null,3
1540,prdb-247,US,Finance,null,null,null,null,0,null,null,3
1541,prdb-248,US,Finance,null,Physical Attack Skimmer,null,null,0,null,null,3
1543,prdb-250,US,Finance,null,null,null,null,0,null,null,3
1546,prdb-253,US,Finance,null,null,null,null,0,null,null,3
1548,prdb-255,US,Finance,null,null,null,null,0,null,null,3
1549,prdb-256,US,Finance,null,null,null,null,0,null,null,3
1550,prdb-257,US,Finance,null,null,null,Physical Theft,0,null,null,3
1554,prdb-261,US,Finance,null,null,null,Physical Theft,0,null,null,3
1556,prdb-263,US,Finance,null,null,null,null,0,null,null,3
1557,prdb-264,US,Finance,null,null,null,null,0,null,null,3
1561,prdb-268,US,Finance,null,null,null,null,0,null,null,3
1565,prdb-272,US,Finance,null,null,null,null,0,null,null,3
1569,prdb-276,US,Finance,null,null,null,null,106,null,null,3
1573,prdb-280,US,Finance,null,null,null,null,0,null,null,3
1575,prdb-282,US,Finance,null,null,null,Physical Theft,0,null,null,3
1577,prdb-284,US,Finance,null,null,null,Physical Theft,0,null,null,3
1578,prdb-285,US,Finance,null,null,null,null,1012,null,null,3
1579,prdb-286,US,Finance,null,null,null,null,0,null,null,3
1580,prdb-287,US,Finance,null,null,null,null,1085,null,null,3
1581,prdb-288,US,Finance,null,null,null,null,0,null,null,3
1582,prdb-289,US,Finance,null,null,null,null,0,null,null,3
1584,prdb-291,US,Finance,null,null,null,null,0,null,null,3
1589,prdb-296,US,Finance,null,null,null,null,0,null,null,3
1590,prdb-297,US,Finance,null,null,null,null,0,null,null,3
1594,prdb-301,US,Finance,null,null,null,Physical Loss,0,null,null,3
1599,prdb-306,US,Finance,null,null,null,null,0,null,null,3
1601,prdb-308,US,Finance,null,null,null,null,0,null,null,3
1603,prdb-310,US,Finance,null,null,null,null,1023,null,null,3
1605,prdb-312,US,Finance,null,null,null,null,0,null,null,3
1608,prdb-315,US,Finance,null,null,null,null,114,null,null,3
1613,prdb-320,US,Finance,null,null,null,null,0,null,null,3
1618,prdb-325,US,Finance,null,null,null,null,0,null,null,3
1620,prdb-327,US,Finance,null,null,null,null,0,null,null,3
1626,prdb-333,US,Finance,null,null,null,null,0,null,null,3
1629,prdb-336,US,Finance,null,null,null,Physical Theft,0,null,null,3
1631,prdb-338,US,Finance,null,null,null,null,0,null,null,3
1632,prdb-339,US,Finance,null,null,null,null,0,null,null,3
1633,prdb-340,US,Finance,null,null,null,null,0,null,null,3
1634,prdb-341,US,Finance,null,null,null,null,0,null,null,3
1637,prdb-344,US,Finance,null,null,null,null,0,null,null,3
1640,prdb-347,US,Finance,null,null,null,null,0,null,null,3
1641,prdb-348,US,Finance,null,null,null,null,0,null,null,3
1643,prdb-350,US,Finance,null,null,null,Physical Theft Spoof Forgery,0,null,null,3
1644,prdb-351,US,Finance,null,null,null,Physical Theft,0,null,null,3
1646,prdb-353,US,Finance,null,null,null,null,0,null,null,3
1648,prdb-355,US,Finance,null,null,null,null,0,null,null,3
1650,prdb-357,US,Finance,null,null,null,Physical Theft,0,null,null,3
1655,prdb-362,US,Finance,null,null,null,null,0,null,null,3
1656,prdb-363,US,Finance,null,null,null,null,0,null,null,3
1658,prdb-365,US,Finance,null,Physical Attack Tampering,null,null,100,null,null,3
1659,prdb-366,US,Finance,null,null,null,null,0,null,null,3
1660,prdb-367,US,Finance,null,null,null,null,0,null,null,3
1661,prdb-368,US,Finance,null,null,null,null,0,null,null,3
1662,prdb-369,US,Finance,null,null,null,null,0,null,null,3
1664,prdb-371,US,Finance,null,null,null,Physical Theft,0,null,null,3
1665,prdb-372,US,Finance,null,null,null,null,0,null,null,3
1672,prdb-379,US,Finance,null,null,null,null,0,null,null,3
1675,prdb-382,US,Finance,null,null,null,Physical Theft,0,null,null,3
1678,prdb-385,US,Finance,null,null,null,Physical Loss,0,null,null,3
1684,prdb-391,US,Finance,null,null,null,null,100,null,null,3
1685,prdb-392,US,Finance,null,null,null,null,0,null,null,3
1687,prdb-394,US,Finance,null,null,null,null,0,null,null,3
1695,prdb-402,US,Finance,null,null,null,null,0,null,null,3
1696,prdb-403,US,Finance,null,null,null,Physical Loss,0,null,null,3
1699,prdb-406,US,Finance,null,null,null,Physical Theft,0,null,null,3
1701,prdb-408,US,Finance,null,null,null,null,0,null,null,3
1703,prdb-410,US,Finance,null,null,null,Physical Theft,0,null,null,3
1705,prdb-412,US,Finance,null,null,null,Physical Theft,0,null,null,3
1707,prdb-414,US,Finance,null,null,null,Physical Loss Theft,0,null,null,3
1708,prdb-415,US,Finance,null,null,null,Physical Loss Theft,0,null,null,3
1709,prdb-416,US,Finance,null,null,null,null,0,null,null,3
1712,prdb-419,US,Finance,null,null,null,null,0,null,null,3
1714,prdb-421,US,Finance,null,null,null,null,0,null,null,3
1715,prdb-422,US,Finance,null,null,null,null,0,null,null,3
1721,prdb-428,US,Finance,null,null,null,Physical Theft,0,null,null,3
1726,prdb-433,US,Finance,null,null,null,null,0,null,null,3
1727,prdb-434,US,Finance,null,null,null,null,0,null,null,3
1728,prdb-435,US,Finance,null,null,null,null,0,null,null,3
1729,prdb-436,US,Finance,null,null,null,Physical Theft,10,null,null,3
1731,prdb-438,US,Finance,null,null,null,null,0,null,null,3
1734,prdb-441,US,Finance,null,null,null,null,0,null,null,3
1735,prdb-442,US,Finance,null,null,null,Physical Theft,0,null,null,3
1737,prdb-444,US,Finance,null,null,null,null,0,null,null,3
1740,prdb-447,US,Finance,null,null,null,null,0,null,null,3
1742,prdb-449,US,Finance,null,null,null,Physical Theft,0,null,null,3
1744,prdb-451,US,Finance,null,null,null,null,0,null,null,3
1746,prdb-453,US,Finance,null,null,null,Delete Destruction,0,null,null,3
1749,prdb-456,US,Finance,null,null,null,null,100000,null,null,3
1754,prdb-461,US,Finance,null,null,null,null,0,null,null,3
1755,prdb-462,US,Finance,null,null,null,null,0,null,null,3
1756,prdb-463,US,Finance,null,null,null,null,0,null,null,3
1757,prdb-464,US,Finance,null,null,null,null,0,null,null,3
1758,prdb-465,US,Finance,null,null,null,null,0,null,null,3
1759,prdb-466,US,Finance,null,null,null,Physical Theft,0,null,null,3
1760,prdb-467,US,Finance,null,null,null,null,0,null,null,3
1763,prdb-470,US,Finance,null,null,null,null,0,null,null,3
1768,prdb-475,US,Finance,null,null,null,null,0,null,null,3
1772,prdb-479,US,Finance,null,null,null,null,0,null,null,3
1777,prdb-484,US,Finance,null,null,Physical Partner,Physical Theft,0,null,null,3
1778,prdb-485,US,Finance,null,null,null,null,0,null,null,3
1781,prdb-488,US,Finance,null,null,null,Physical Theft,0,null,null,3
1784,prdb-491,US,Finance,null,null,Physical Partner Implementation Email,null,0,null,null,3
1785,prdb-492,US,Finance,null,null,null,null,0,null,null,3
1786,prdb-493,US,Finance,null,null,null,null,0,null,null,3
1788,prdb-495,US,Finance,null,null,null,null,0,null,null,3
1789,prdb-496,US,Finance,null,null,Physical Documents,Delete Destruction,0,null,null,3
1790,prdb-497,US,Finance,null,null,null,null,0,null,null,3
1795,prdb-502,US,Finance,null,null,null,Physical Theft,0,null,null,3
1800,prdb-507,US,Finance,null,null,null,null,0,null,null,3
1802,prdb-509,US,Finance,null,null,null,null,0,null,null,3
1806,prdb-513,US,Finance,null,null,null,null,115775,null,null,3
1808,prdb-515,US,Finance,null,null,null,null,0,null,null,3
1809,prdb-516,US,Finance,null,null,null,null,0,null,null,3
1811,prdb-518,US,Finance,null,null,null,null,0,null,null,3
1813,prdb-520,US,Finance,null,null,null,null,0,null,null,3
1815,prdb-522,US,Finance,null,null,null,null,0,null,null,3
1818,prdb-525,US,Finance,null,null,null,null,0,null,null,3
1822,prdb-529,US,Finance,null,null,null,Physical Theft,0,null,null,3
1823,prdb-530,US,Finance,null,null,null,null,0,null,null,3
1826,prdb-533,US,Finance,null,null,null,null,0,null,null,3
1827,prdb-534,US,Finance,null,null,null,null,0,null,null,3
1829,prdb-536,US,Finance,null,null,null,null,0,null,null,3
1830,prdb-537,US,Finance,null,null,null,null,0,null,null,3
1834,prdb-541,US,Finance,null,null,null,null,0,null,null,3
1835,prdb-542,US,Finance,null,null,null,null,0,null,null,3
1836,prdb-543,US,Finance,null,null,null,null,0,null,null,3
1837,prdb-544,US,Finance,null,null,null,null,0,null,null,3
1838,prdb-545,US,Finance,null,null,null,null,0,null,null,3
1839,prdb-546,US,Finance,null,null,null,null,0,null,null,3
1840,prdb-547,US,Finance,null,null,null,null,0,null,null,3
1842,prdb-549,US,Finance,null,null,null,null,0,null,null,3
1843,prdb-550,US,Finance,null,null,null,null,0,null,null,3
1846,prdb-553,US,Finance,null,null,null,null,0,null,null,3
1847,prdb-554,US,Finance,null,null,null,null,0,null,null,3
1849,prdb-556,US,Finance,null,null,null,Physical Theft,0,null,null,3
1851,prdb-558,US,Finance,null,null,null,null,0,null,null,3
1864,prdb-571,US,Finance,null,null,null,null,0,null,null,3
1867,prdb-574,US,Finance,null,null,null,null,0,null,null,3
1872,prdb-579,US,Finance,null,null,null,null,0,null,null,3
1874,prdb-581,US,Finance,null,null,null,Physical Theft,0,null,null,3
1887,prdb-594,US,Finance,null,null,null,null,0,null,null,3
1888,prdb-595,US,Finance,null,null,null,null,0,null,null,3
1889,prdb-596,US,Finance,null,null,null,null,0,null,null,3
1890,prdb-597,US,Finance,null,null,null,null,11000000,null,null,3
1893,prdb-600,US,Finance,null,null,null,null,0,null,null,3
1895,prdb-602,US,Finance,null,null,null,Physical Theft,0,null,null,3
1900,prdb-607,US,Finance,null,null,null,Physical Theft,0,null,null,3
1901,prdb-608,US,Finance,null,null,null,null,0,null,null,3
1904,prdb-611,US,Finance,null,null,Physical Partner Configuration Phone Network,Physical Theft,10000000,null,null,3
1905,prdb-612,US,Finance,null,null,null,null,0,null,null,3
1915,prdb-622,US,Finance,null,null,null,null,0,null,null,3
1918,prdb-625,US,Finance,null,null,null,null,0,null,null,3
1920,prdb-627,US,Finance,null,null,null,null,0,null,null,3
1922,prdb-629,US,Finance,null,null,null,Physical Theft,0,null,null,3
1924,prdb-631,US,Finance,null,null,null,Physical Theft,0,null,null,3
1931,prdb-638,US,Finance,null,null,null,null,0,null,null,3
1936,prdb-643,US,Finance,null,null,null,Physical Theft,0,null,null,3
1939,prdb-646,US,Finance,null,null,null,null,0,null,null,3
1940,prdb-647,US,Finance,null,null,Physical Partner,null,0,null,null,3
1941,prdb-648,US,Finance,null,null,null,null,0,null,null,3
1943,prdb-650,US,Finance,null,null,null,null,0,null,null,3
1948,prdb-655,US,Finance,null,null,null,null,0,null,null,3
1949,prdb-656,US,Finance,null,null,null,null,0,null,null,3
1950,prdb-657,US,Finance,null,null,null,Physical Theft,0,null,null,3
1955,prdb-662,US,Finance,null,null,null,null,0,null,null,3
1959,prdb-666,US,Finance,null,null,null,Physical Theft,0,null,null,3
1960,prdb-667,US,Finance,null,null,null,Physical Theft,0,null,null,3
1961,prdb-668,US,Finance,null,null,null,null,0,null,null,3
1962,prdb-669,US,Finance,null,null,null,null,0,null,null,3
1971,prdb-678,US,Finance,null,null,null,null,0,null,null,3
1973,prdb-680,US,Finance,null,null,Physical Partner Implementation Email Configuration Phone Network,null,0,null,null,3
1974,prdb-681,US,Finance,null,null,null,null,0,null,null,3
1975,prdb-682,US,Finance,null,null,null,null,0,null,null,3
1978,prdb-685,US,Finance,null,null,Physical Partner Configuration Phone,null,0,null,null,3
1979,prdb-686,US,Finance,null,null,null,null,0,null,null,3
1981,prdb-688,US,Finance,null,null,null,null,0,null,null,3
1983,prdb-690,US,Finance,null,null,null,null,0,null,null,3
1989,prdb-696,US,Finance,null,null,Physical Partner Configuration Phone,null,0,null,null,3
1996,prdb-703,US,Finance,null,null,null,Physical Theft,0,null,null,3
2000,prdb-707,US,Finance,null,null,Physical Partner Implementation Email Configuration Phone,null,0,null,null,3
2028,prdb-735,US,Finance,null,null,null,null,1,null,null,3
2038,prdb-745,US,Finance,null,null,null,null,1,null,null,3
2043,prdb-750,US,Finance,null,null,null,null,1,null,null,3
2052,prdb-759,US,Finance,null,null,null,null,10796,null,null,3
2057,prdb-764,US,Finance,null,null,null,null,0,null,null,3
2061,prdb-768,US,Finance,null,null,null,null,1,null,null,3
2069,prdb-776,US,Finance,null,null,null,null,,null,null,3
2071,prdb-778,US,Finance,null,null,null,null,1,null,null,3
2074,prdb-781,US,Finance,null,null,null,null,11362,null,null,3
2077,prdb-784,US,Finance,null,null,null,null,104649,null,null,3
2091,prdb-798,US,Finance,null,null,null,null,0,null,null,3
2093,prdb-800,US,Finance,null,null,null,null,0,null,null,3
2094,prdb-801,US,Tourism,null,null,null,null,0,null,null,3
2098,prdb-805,US,Delivery Services,null,null,null,null,1100,null,null,3
2101,prdb-808,US,Telecommunications,null,null,null,null,0,null,null,3
2102,prdb-809,US,Sport,null,null,null,null,0,null,null,3
2105,prdb-812,US,Information Technology,null,null,null,null,1000,null,null,3
2117,prdb-824,US,Consulting Services,null,null,null,Spoof Scam,0,null,null,3
2125,prdb-832,US,Oil and Gas,null,null,null,Physical Theft,0,null,null,3
2126,prdb-833,US,Utilities,null,null,null,null,0,null,null,3
2129,prdb-836,US,Information Technology,null,null,null,null,0,null,null,3
2130,prdb-837,US,Finance,null,null,null,null,0,null,null,3
2131,prdb-838,US,Information Technology,null,null,null,null,0,null,null,3
2132,prdb-839,US,Telecommunications,null,null,null,null,0,null,null,3
2133,prdb-840,US,Food Establishment,null,null,null,null,0,null,null,3
2135,prdb-842,US,Information Technology,null,null,null,null,0,null,null,3
2139,prdb-846,US,Consulting Services,null,null,null,null,0,null,null,3
2141,prdb-848,US,Information Technology,null,null,null,null,0,null,null,3
2143,prdb-850,US,Entertainment,null,null,null,null,0,null,null,3
2144,prdb-851,US,Tourism,null,null,null,null,0,null,null,3
2146,prdb-853,US,Information Technology,null,null,null,null,1000,null,null,3
2147,prdb-854,US,Rental,null,null,null,null,0,null,null,3
2150,prdb-857,US,Information Technology,null,null,null,null,1100,null,null,3
2154,prdb-861,US,Real Estate,null,null,null,null,0,null,null,3
2156,prdb-863,US,Warehousing and Storage,null,null,null,null,0,null,null,3
2160,prdb-867,US,Security Services,null,null,null,null,0,null,null,3
2162,prdb-869,US,Printing Services,null,null,null,null,0,null,null,3
2166,prdb-873,US,Other Services,null,null,null,null,0,null,null,3
2168,prdb-875,US,Information Technology,null,null,null,null,0,null,null,3
2171,prdb-878,US,Advertising,null,null,null,null,0,null,null,3
2172,prdb-879,US,Construction,null,null,null,null,0,null,null,3
2173,prdb-880,US,Delivery Services,null,null,null,null,100,null,null,3
2174,prdb-881,US,Retailer,null,null,null,null,0,null,null,3
2181,prdb-888,US,Research,null,null,null,null,0,null,null,3
2186,prdb-893,US,Event Organizers,null,null,null,null,0,null,null,3
2191,prdb-898,US,Utilities,null,null,null,null,0,null,null,3
2196,prdb-903,US,Manufacturing,null,null,null,null,0,null,null,3
2197,prdb-904,US,Civil Services,null,null,null,Physical Theft,0,null,null,3
2199,prdb-906,US,Telecommunications,null,null,null,Physical Theft,0,null,null,3
2204,prdb-911,US,Information Technology,null,null,null,Physical Theft,0,null,null,3
