,typeId,country,industry,objectives,tool,vulnerability,action,records_affected,unauthorized_result,monetary_loss,cluster
172,health-172,US,Medical,null,null,null,Physical Theft,1250,Theft of Resources,null,0
175,health-175,US,Medical,null,null,null,Physical Loss,16200,null,null,0
177,health-177,US,Medical,null,null,null,Physical Theft,12009,Theft of Resources,null,0
181,health-181,US,Medical,null,null,null,null,18871,null,null,0
184,health-184,US,Medical,null,null,null,Physical Theft,1700000,Theft of Resources,null,0
201,health-201,US,Medical,null,null,null,Physical Theft,1700,Theft of Resources,null,0
207,health-207,US,Medical,null,null,null,Physical Theft,132940,Theft of Resources,null,0
208,health-208,US,Medical,null,null,null,null,1900000,null,null,0
210,health-210,US,Medical,null,null,null,Physical Theft,15000,Theft of Resources,null,0
219,health-219,US,Medical,null,null,null,Physical Theft,1500,Theft of Resources,null,0
230,health-230,US,Medical,null,null,null,null,1986,null,null,0
231,health-231,US,Medical,null,null,null,Physical Theft,17000,Theft of Resources,null,0
232,health-232,US,Medical,null,null,null,null,1263,null,null,0
233,health-233,US,Medical,null,null,null,Physical Theft,1280,Theft of Resources,null,0
234,health-234,US,Medical,null,null,null,Physical Theft,15677,Theft of Resources,null,0
240,health-240,US,Medical,null,null,null,Physical Theft,2000,Theft of Resources,null,0
243,health-243,US,Medical,null,null,null,null,1562,null,null,0
248,health-248,US,Medical,null,null,null,null,2021,null,null,0
250,health-250,US,Medical,null,null,null,Physical Theft,1870,Theft of Resources,null,0
252,health-252,US,Medical,null,null,null,Physical Theft,1200,Theft of Resources,null,0
261,health-261,US,Medical,null,null,null,Physical Theft,1432,Theft of Resources,null,0
263,health-263,US,Medical,null,null,null,Physical Theft,2000,Theft of Resources,null,0
264,health-264,US,Medical,null,null,null,null,19651,null,null,0
266,health-266,US,Medical,null,null,null,Physical Theft,1800,Theft of Resources,null,0
268,health-268,US,Medical,null,null,null,Physical Theft,1696,Theft of Resources,null,0
273,health-273,US,Medical,null,null,null,null,1300,null,null,0
276,health-276,US,Medical,null,null,null,Physical Theft,1259,Theft of Resources,null,0
278,health-278,US,Medical,null,null,null,Physical Theft,14623,Theft of Resources,null,0
281,health-281,US,Medical,null,null,null,Physical Loss,1631,null,null,0
288,health-288,US,Medical,null,null,null,null,12784,null,null,0
291,health-291,US,Medical,null,null,null,Physical Theft,14750,Theft of Resources,null,0
292,health-292,US,Medical,null,null,null,Physical Loss,1472,null,null,0
303,health-303,US,Medical,null,null,null,null,12563,null,null,0
312,health-312,US,Medical,null,null,null,Physical Theft,17000,Theft of Resources,null,0
318,health-318,US,Medical,null,null,null,Physical Theft,1670,Theft of Resources,null,0
320,health-320,US,Medical,null,null,null,Physical Theft,1300,Theft of Resources,null,0
326,health-326,US,Medical,null,null,null,Physical Theft,1219,Theft of Resources,null,0
327,health-327,US,Medical,null,null,null,Physical Theft,2000,Theft of Resources,null,0
328,health-328,US,Medical,null,null,null,Physical Theft,14000,Theft of Resources,null,0
329,health-329,US,Medical,null,null,null,null,1700,null,null,0
343,health-343,US,Medical,null,null,null,Physical Theft,20000,Theft of Resources,null,0
351,health-351,US,Medical,null,null,null,Physical Theft,1972,Theft of Resources,null,0
353,health-353,US,Medical,null,null,null,null,1370,null,null,0
355,health-355,US,Medical,null,null,null,null,1229,null,null,0
358,health-358,US,Medical,null,null,null,Physical Theft,2000,Theft of Resources,null,0
370,health-370,US,Medical,null,null,null,Physical Theft,1597,Theft of Resources,null,0
375,health-375,US,Medical,null,null,null,null,17000,null,null,0
376,health-376,US,Medical,null,null,null,null,19100,null,null,0
377,health-377,US,Medical,null,null,null,Physical Theft,1900,Theft of Resources,null,0
382,health-382,US,Medical,null,null,null,null,15000,null,null,0
383,health-383,US,Medical,null,null,null,Physical Theft,12937,Theft of Resources,null,0
389,health-389,US,Medical,null,null,null,Physical Theft,1444,Theft of Resources,null,0
405,health-405,US,Medical,null,null,null,Physical Theft,1504,Theft of Resources,null,0
414,health-414,US,Medical,null,null,null,Physical Theft,1175,Theft of Resources,null,0
428,health-428,US,Medical,null,null,null,Physical Theft,13000,Theft of Resources,null,0
433,health-433,US,Medical,null,null,null,null,13000,null,null,0
446,health-446,US,Medical,null,null,null,Physical Loss,14004,null,null,0
449,health-449,US,Medical,null,null,null,null,18000,null,null,0
452,health-452,US,Medical,null,null,null,Physical Theft,14511,Theft of Resources,null,0
457,health-457,US,Medical,null,null,null,Physical Theft,1749,Theft of Resources,null,0
461,health-461,US,Medical,null,null,null,null,1500,null,null,0
463,health-463,US,Medical,null,null,null,Physical Loss,1846,null,null,0
480,health-480,US,Medical,null,null,null,Physical Theft,1400,Theft of Resources,null,0
482,health-482,US,Medical,null,null,null,Physical Theft,19178,Theft of Resources,null,0
485,health-485,US,Medical,null,null,null,Physical Loss,1184,null,null,0
493,health-493,US,null,null,null,null,Physical Theft,1200,Theft of Resources,null,0
494,health-494,US,Medical,null,null,null,Physical Theft,1200,Theft of Resources,null,0
500,health-500,US,Medical,null,null,null,Physical Theft,1819,Theft of Resources,null,0
502,health-502,US,Medical,null,null,null,null,18000,null,null,0
510,health-510,US,Medical,null,null,null,null,1920,null,null,0
511,health-511,US,Medical,null,null,null,Physical Theft,18162,Theft of Resources,null,0
513,health-513,US,Medical,null,null,null,Physical Theft,1200,Theft of Resources,null,0
514,health-514,US,Medical,null,null,null,null,1382,null,null,0
515,health-515,US,Medical,null,null,null,Physical Theft,12299,Theft of Resources,null,0
517,health-517,US,Medical,null,null,null,null,1678,null,null,0
526,health-526,US,Medical,null,null,null,null,14519,null,null,0
527,health-527,US,Medical,null,null,null,Physical Theft,12542,Theft of Resources,null,0
533,health-533,US,Medical,null,null,null,Physical Theft,1416,Theft of Resources,null,0
537,health-537,US,Medical,null,null,null,Physical Theft,1580,Theft of Resources,null,0
545,health-545,US,Medical,null,null,null,null,1924,null,null,0
552,health-552,US,Medical,null,null,null,null,1900,null,null,0
555,health-555,US,Medical,null,null,null,null,1386,null,null,0
559,health-559,US,Medical,null,null,null,null,1670,null,null,0
561,health-561,US,Medical,null,null,null,Physical Theft,12900,Theft of Resources,null,0
566,health-566,US,Medical,null,null,null,Physical Theft,1955,Theft of Resources,null,0
577,health-577,US,Medical,null,null,null,null,21000,null,null,0
583,health-583,US,Medical,null,null,null,null,1361,null,null,0
585,health-585,US,Medical,null,null,null,Physical Theft,1837,Theft of Resources,null,0
586,health-586,US,Medical,null,null,null,Physical Theft,1911,Theft of Resources,null,0
590,health-590,US,Medical,null,null,null,null,1396,null,null,0
595,health-595,US,Medical,null,null,null,Physical Theft,1471,Theft of Resources,null,0
603,health-603,US,Medical,null,null,null,Physical Theft,1500,Theft of Resources,null,0
607,health-607,US,Medical,null,null,null,null,1290,null,null,0
612,health-612,US,null,null,null,null,null,2029,null,null,0
619,health-619,US,Medical,null,null,null,Physical Theft,1360,Theft of Resources,null,0
625,health-625,US,Medical,null,null,null,null,1825,null,null,0
629,health-629,US,Medical,null,null,null,null,1310,null,null,0
636,health-636,US,Medical,null,null,null,null,1556,null,null,0
652,health-652,US,Medical,null,null,null,Physical Loss,1167,null,null,0
657,health-657,US,Medical,null,null,null,null,1315,null,null,0
660,health-660,US,Medical,null,null,null,Physical Theft,1456,Theft of Resources,null,0
664,health-664,US,Medical,null,null,null,Physical Theft,1300,Theft of Resources,null,0
671,health-671,US,Medical,null,null,null,Physical Theft,1500,Theft of Resources,null,0
673,health-673,US,Medical,null,null,null,null,1279,null,null,0
675,health-675,US,Medical,null,null,null,null,2080,null,null,0
676,health-676,US,Medical,null,null,null,Physical Theft,1573,Theft of Resources,null,0
677,health-677,US,Medical,null,null,null,null,1891,null,null,0
687,health-687,US,Medical,null,null,null,null,1499,null,null,0
688,health-688,US,Medical,null,null,null,null,11935,null,null,0
689,health-689,US,Medical,null,null,null,null,1900,null,null,0
691,health-691,US,Medical,null,null,null,null,11935,null,null,0
693,health-693,US,Medical,null,null,null,Physical Theft,1400,Theft of Resources,null,0
697,health-697,US,Medical,null,null,null,Physical Theft,12354,Theft of Resources,null,0
698,health-698,US,Medical,null,null,null,null,1918,null,null,0
704,health-704,US,Medical,null,null,null,null,1489,null,null,0
711,health-711,US,Medical,null,null,null,null,1700,null,null,0
720,health-720,US,Medical,null,null,null,null,1883,null,null,0
725,health-725,US,Medical,null,null,null,Physical Theft,16446,Theft of Resources,null,0
734,health-734,US,Medical,null,null,null,Physical Theft,1411,Theft of Resources,null,0
735,health-735,US,Medical,null,null,null,null,1511,null,null,0
746,health-746,US,Medical,null,null,null,null,2042,null,null,0
751,health-751,US,Medical,null,null,null,Physical Theft,1706,Theft of Resources,null,0
753,health-753,US,Medical,null,null,null,null,1746,null,null,0
757,health-757,US,Medical,null,null,null,null,1699,null,null,0
771,health-771,US,Medical,null,null,null,null,1256,null,null,0
775,health-775,PR,Medical,null,null,null,Physical Theft,17776,Theft of Resources,null,0
785,health-785,US,Medical,null,null,null,null,12286,null,null,0
790,health-790,US,Medical,null,null,null,null,1253,null,null,0
792,health-792,US,Medical,null,null,null,null,1981,null,null,0
794,health-794,US,Medical,null,null,null,null,1361,null,null,0
795,health-795,US,Medical,null,null,null,null,15265,null,null,0
800,health-800,US,Medical,null,null,null,null,17914,null,null,0
802,health-802,US,Medical,null,null,null,Physical Theft,1208,Theft of Resources,null,0
809,health-809,US,Medical,null,null,null,null,1304,null,null,0
811,health-811,US,Medical,null,null,null,null,1801,null,null,0
815,health-815,US,Medical,null,null,null,null,1831,null,null,0
825,health-825,US,Medical,null,null,null,Physical Theft,2000,Theft of Resources,null,0
827,health-827,US,Medical,null,null,null,null,14121,null,null,0
829,health-829,US,Medical,null,null,null,Physical Theft,1200,Theft of Resources,null,0
835,health-835,US,Medical,null,null,null,Physical Theft,12000,Theft of Resources,null,0
843,health-843,US,Medical,null,null,null,null,13877,null,null,0
852,health-852,US,Medical,null,null,null,null,1251,null,null,0
855,health-855,US,Medical,null,null,null,null,1674,null,null,0
859,health-859,US,Medical,null,null,null,Physical Theft,13646,Theft of Resources,null,0
866,health-866,US,Medical,null,null,null,null,1717,null,null,0
875,health-875,US,Medical,null,null,null,null,2000000,null,null,0
887,health-887,US,Medical,null,null,null,Physical Theft,1320,Theft of Resources,null,0
890,health-890,US,Medical,null,null,null,null,1326,null,null,0
893,health-893,US,Medical,null,null,null,null,15380,null,null,0
896,health-896,US,Medical,null,null,null,Physical Theft,1863,Theft of Resources,null,0
900,health-900,US,Medical,null,null,null,null,1782,null,null,0
901,health-901,US,Medical,null,null,null,Physical Theft,13907,Theft of Resources,null,0
907,health-907,US,Medical,null,null,null,Physical Theft,13177,Theft of Resources,null,0
908,health-908,US,Medical,null,null,null,null,1296,null,null,0
912,health-912,US,Medical,null,null,null,null,1449,null,null,0
921,health-921,US,Medical,null,null,null,null,12621,null,null,0
922,health-922,US,Medical,null,null,null,null,1488,null,null,0
928,health-928,US,Medical,null,null,null,null,1859,null,null,0
938,health-938,US,Medical,null,null,null,null,1600,null,null,0
940,health-940,US,Medical,null,null,null,null,1285,null,null,0
941,health-941,US,Medical,null,null,null,Physical Theft,2000,Theft of Resources,null,0
944,health-944,US,Medical,null,null,null,Physical Theft,14100,Theft of Resources,null,0
951,health-951,US,Medical,null,null,null,null,18000,null,null,0
960,health-960,US,Medical,null,null,null,Physical Loss,1233,null,null,0
966,health-966,US,Medical,null,null,null,null,14177,null,null,0
968,health-968,US,Medical,null,null,null,null,151626,null,null,0
975,health-975,US,Medical,null,null,null,null,1688,null,null,0
978,health-978,null,Medical,null,null,null,null,1458,null,null,0
992,health-992,US,Medical,null,null,null,null,12500,null,null,0
993,health-993,US,Medical,null,null,null,Physical Theft,1787,Theft of Resources,null,0
994,health-994,US,Medical,null,null,null,null,1447,null,null,0
1007,health-1007,US,Medical,null,null,null,Physical Theft,1551,Theft of Resources,null,0
1011,health-1011,US,null,null,null,null,Physical Theft,1342,Theft of Resources,null,0
1017,health-1017,US,Medical,null,null,null,Physical Theft,14000,Theft of Resources,null,0
1024,health-1024,US,Medical,null,null,null,Physical Theft,12000,Theft of Resources,null,0
1027,health-1027,US,Medical,null,null,null,Physical Theft,18213,Theft of Resources,null,0
1033,health-1033,US,Medical,null,null,null,Physical Theft,12914,Theft of Resources,null,0
1045,health-1045,US,Medical,null,null,null,null,1475,null,null,0
1046,health-1046,US,Medical,null,null,null,Physical Theft,12517,Theft of Resources,null,0
1051,health-1051,US,Medical,null,null,null,Physical Loss,12673,null,null,0
1052,health-1052,US,Medical,null,null,null,null,1494,null,null,0
1053,health-1053,US,Medical,null,null,null,null,13000,null,null,0
1057,health-1057,US,Medical,null,null,null,null,2060,null,null,0
1058,health-1058,US,Medical,null,null,null,Physical Theft,2000,Theft of Resources,null,0
1059,health-1059,US,Medical,null,null,null,null,1400,null,null,0
1060,health-1060,US,Medical,null,null,null,Physical Theft,160000,Theft of Resources,null,0
1062,health-1062,US,Medical,null,null,null,null,1500,null,null,0
1063,health-1063,US,Medical,null,null,null,Physical Theft,1200,Theft of Resources,null,0
1065,health-1065,US,Medical,null,null,null,Physical Theft,2000,Theft of Resources,null,0
1067,health-1067,US,Medical,null,null,null,Physical Theft,1450,Theft of Resources,null,0
1068,health-1068,US,Medical,null,null,null,Physical Theft,1242,Theft of Resources,null,0
1069,health-1069,US,Medical,null,null,null,null,16107,null,null,0
1072,health-1072,US,Medical,null,null,null,Physical Theft,14500,Theft of Resources,null,0
1073,health-1073,US,Medical,null,null,null,null,2075,null,null,0
1088,health-1088,US,Medical,null,null,null,null,1260,null,null,0
1090,health-1090,US,Medical,null,null,null,Physical Theft,1581,Theft of Resources,null,0
1091,health-1091,US,Medical,null,null,null,null,1615,null,null,0
1095,health-1095,US,Medical,null,null,null,null,1997,null,null,0
1096,health-1096,US,Medical,null,null,null,null,16000,null,null,0
1097,health-1097,US,Medical,null,null,null,Physical Theft,1680,Theft of Resources,null,0
1101,health-1101,US,Medical,null,null,null,Physical Theft,1300,Theft of Resources,null,0
1106,health-1106,US,Medical,null,null,null,Physical Loss,1275,null,null,0
1107,health-1107,US,Medical,null,null,null,Physical Theft,1500,Theft of Resources,null,0
1108,health-1108,US,Medical,null,null,null,null,1407,null,null,0
1113,health-1113,US,Medical,null,null,null,null,14910,null,null,0
1119,health-1119,US,Medical,null,null,null,Physical Theft,1359,Theft of Resources,null,0
1125,health-1125,US,Medical,null,null,null,null,1500,null,null,0
1126,health-1126,US,Medical,null,null,null,null,20764,null,null,0
1129,health-1129,US,Medical,null,null,null,Physical Theft,13086,Theft of Resources,null,0
1137,health-1137,US,Medical,null,null,null,null,1200,null,null,0
1142,health-1142,US,Medical,null,null,null,null,1550,null,null,0
1143,health-1143,US,Medical,null,null,null,null,1550,null,null,0
1144,health-1144,US,Medical,null,null,null,Physical Theft,1349,Theft of Resources,null,0
1158,health-1158,US,Medical,null,null,null,null,1654,null,null,0
1164,health-1164,US,Medical,null,null,null,null,2000,null,null,0
1169,health-1169,US,Medical,null,null,null,null,15625,null,null,0
1171,health-1171,US,Medical,null,null,null,Physical Theft,2000,Theft of Resources,null,0
1175,health-1175,US,Medical,null,null,null,null,19397,null,null,0
1181,health-1181,US,Medical,null,null,null,null,1506,null,null,0
1183,health-1183,US,Medical,null,null,null,null,1906,null,null,0
1192,health-1192,US,Medical,null,null,null,Physical Theft,19898,Theft of Resources,null,0
1197,health-1197,US,Medical,null,null,null,null,1620,null,null,0
1199,health-1199,US,Medical,null,null,null,null,1625,null,null,0
1206,health-1206,US,Medical,null,null,null,null,12500,null,null,0
1209,health-1209,US,null,null,null,null,null,1370,null,null,0
1211,health-1211,US,Medical,null,null,null,null,19776,null,null,0
1214,health-1214,US,Medical,null,null,null,null,16200,null,null,0
1220,health-1220,US,Medical,null,null,null,null,1682,null,null,0
1224,health-1224,US,Medical,null,null,null,null,13674,null,null,0
1226,health-1226,US,Medical,null,null,null,null,2000,null,null,0
1229,health-1229,US,Medical,null,null,null,null,13000,null,null,0
1230,health-1230,US,Medical,null,null,null,null,1350,null,null,0
1231,health-1231,US,Medical,null,null,null,null,17100,null,null,0
1233,health-1233,US,Medical,null,null,null,null,1835,null,null,0
1236,health-1236,US,Medical,null,null,null,null,1479,null,null,0
1237,health-1237,US,Medical,null,null,null,null,1945,null,null,0
1241,health-1241,US,Medical,null,null,null,Physical Theft,2000,Theft of Resources,null,0
1242,health-1242,US,Medical,null,null,null,null,1679,null,null,0
1247,health-1247,US,Medical,null,null,null,null,201000,null,null,0
1250,health-1250,US,Medical,null,null,null,null,1185,null,null,0
1253,health-1253,US,Medical,null,null,null,null,13237,null,null,0
1268,health-1268,US,Medical,null,null,null,null,1980,null,null,0
1271,health-1271,US,Medical,null,null,null,null,18399,null,null,0
1275,health-1275,US,Medical,null,null,null,null,15478,null,null,0
1277,health-1277,US,Medical,null,null,null,null,1349,null,null,0
1279,health-1279,US,Medical,null,null,null,Physical Theft,1400,Theft of Resources,null,0
1281,health-1281,US,Medical,null,null,null,null,16228,null,null,0
1284,health-1284,US,Medical,null,null,null,null,16000,null,null,0
1286,health-1286,US,Medical,null,null,null,null,1500,null,null,0
1294,prdb-1,US,Finance,null,null,null,null,1200000,null,null,0
1295,prdb-2,US,Finance,null,null,null,null,200000,null,null,0
1301,prdb-8,US,Finance,null,null,null,null,18000,null,null,0
1305,prdb-12,US,Finance,null,null,null,null,165000,null,null,0
1312,prdb-19,US,Finance,null,null,null,Physical Theft,200,null,null,0
1313,prdb-20,US,Finance,null,null,null,null,2000000,null,null,0
1317,prdb-24,US,Finance,null,null,Design Software Configuration Website,null,17,null,null,0
1324,prdb-31,US,Finance,null,null,null,Physical Theft,196000,null,null,0
1326,prdb-33,US,Finance,null,null,null,Physical Theft,167,null,null,0
1327,prdb-34,US,Finance,null,null,null,null,13,null,null,0
1342,prdb-49,US,Finance,null,null,null,null,150,null,null,0
1345,prdb-52,US,Finance,null,null,null,null,2000,null,null,0
1349,prdb-56,US,Finance,null,null,Configuration Website,null,13,null,null,0
1350,prdb-57,US,Finance,null,null,null,null,1700000,null,null,0
1354,prdb-61,US,Finance,null,null,null,null,1237,null,null,0
1355,prdb-62,US,Finance,null,null,null,null,13000,null,null,0
1356,prdb-63,US,Finance,null,null,null,null,13000,null,null,0
1362,prdb-69,US,Finance,null,null,Configuration Phone,null,1221,null,null,0
1365,prdb-72,US,Finance,null,null,null,null,14000,null,null,0
1378,prdb-85,US,Finance,null,null,null,null,124,null,null,0
1385,prdb-92,US,Finance,null,null,null,null,2089,null,null,0
1405,prdb-112,US,Finance,null,null,null,null,1243,null,null,0
1407,prdb-114,US,Finance,null,null,null,Physical Theft,156,null,null,0
1408,prdb-115,US,Finance,null,null,Implementation Email,null,17,null,null,0
1412,prdb-119,US,Finance,null,null,null,Spoof Scam,1700,null,null,0
1415,prdb-122,US,Finance,null,null,null,null,1800,null,null,0
1417,prdb-124,US,Finance,null,null,null,null,146,null,null,0
1421,prdb-128,US,Finance,null,null,null,null,197,null,null,0
1426,prdb-133,US,Finance,null,null,null,null,18,null,null,0
1440,prdb-147,US,Finance,null,null,null,null,12876,null,null,0
1471,prdb-178,US,Finance,null,null,null,null,140,null,null,0
1480,prdb-187,US,Finance,null,null,null,null,20,null,null,0
1498,prdb-205,US,Finance,null,null,null,null,150,null,null,0
1499,prdb-206,US,Finance,null,null,null,null,19,null,null,0
1500,prdb-207,US,Finance,null,null,null,null,150000,null,null,0
1504,prdb-211,US,Finance,null,null,Configuration Network,null,1279,null,null,0
1512,prdb-219,US,Finance,null,null,null,null,12500000,null,null,0
1519,prdb-226,US,Finance,null,null,null,Physical Loss,19000,null,null,0
1528,prdb-235,US,Finance,null,null,null,Physical Loss Theft,17000000,null,null,0
1536,prdb-243,US,Finance,null,null,Design Software Configuration Network,Physical Loss Spoof Forgery,130000000,null,null,0
1542,prdb-249,US,Finance,null,null,Configuration Website,null,120,null,null,0
1547,prdb-254,US,Finance,null,null,null,null,1500,null,null,0
1551,prdb-258,US,Finance,null,null,null,null,1325,null,null,0
1562,prdb-269,US,Finance,null,null,Design Software,null,1200000,null,null,0
1570,prdb-277,US,Finance,null,null,null,null,200,null,null,0
1588,prdb-295,US,Finance,null,null,null,null,20,null,null,0
1591,prdb-298,US,Finance,null,null,null,null,1433,null,null,0
1592,prdb-299,US,Finance,null,null,null,null,18,null,null,0
1602,prdb-309,US,Finance,null,null,null,null,1286,null,null,0
1604,prdb-311,US,Finance,null,null,null,Physical Theft,200000,null,null,0
1606,prdb-313,US,Finance,null,null,null,null,12,null,null,0
1617,prdb-324,US,Finance,null,null,null,null,20,null,null,0
1619,prdb-326,US,Finance,null,null,null,null,14,null,null,0
1623,prdb-330,US,Finance,null,null,null,null,121,null,null,0
1635,prdb-342,US,Finance,null,null,null,null,18500,null,null,0
1639,prdb-346,US,Finance,null,null,null,null,17,null,null,0
1645,prdb-352,US,Finance,null,null,null,null,13,null,null,0
1654,prdb-361,US,Finance,null,null,Configuration Phone,null,1600,null,null,0
1668,prdb-375,US,Finance,null,null,null,null,16000,null,null,0
1671,prdb-378,US,Finance,null,null,Physical Documents,Physical Theft,13079,null,null,0
1676,prdb-383,US,Finance,null,null,null,null,149,null,null,0
1691,prdb-398,US,Finance,null,null,null,null,13000,null,null,0
1719,prdb-426,US,Finance,null,null,Configuration Website,null,12,null,null,0
1722,prdb-429,US,Finance,null,null,null,null,123,null,null,0
1733,prdb-440,US,Finance,null,null,null,null,2067,null,null,0
1743,prdb-450,US,Finance,null,null,null,null,15399,null,null,0
1745,prdb-452,US,Finance,null,null,Configuration Network,null,123201,null,null,0
1767,prdb-474,US,Finance,null,null,null,null,17000,null,null,0
1776,prdb-483,US,Finance,null,null,null,null,15000,null,null,0
1780,prdb-487,US,Finance,null,null,null,null,200,null,null,0
1804,prdb-511,US,Finance,null,null,null,null,146000,null,null,0
1863,prdb-570,US,Finance,null,null,null,null,18000,null,null,0
1870,prdb-577,US,Finance,null,null,Physical Documents Configuration Phone,null,18000,null,null,0
1907,prdb-614,US,Finance,null,null,null,Physical Theft,15000000,null,null,0
1911,prdb-618,US,Finance,null,null,Design Programming error,null,1400,null,null,0
1919,prdb-626,US,Finance,null,null,null,null,1872,null,null,0
1929,prdb-636,US,Finance,null,null,null,Physical Theft,166,null,null,0
1930,prdb-637,US,Finance,null,null,null,Physical Theft,121,null,null,0
1977,prdb-684,US,Finance,null,null,null,Spoof Phishing,155,null,null,0
1995,prdb-702,US,Finance,null,null,null,null,12000,null,null,0
1998,prdb-705,US,Finance,null,null,Physical Documents Implementation Email Configuration Website,null,145500000,null,null,0
2002,prdb-709,US,Finance,null,null,Implementation Email,null,127310,null,null,0
2009,prdb-716,US,Finance,null,null,null,null,1280,null,null,0
2011,prdb-718,US,Finance,null,null,null,null,187788,null,null,0
2020,prdb-727,US,Finance,null,null,null,Spoof Phishing,1500,null,null,0
2024,prdb-731,US,Finance,null,null,null,null,1530,null,null,0
2025,prdb-732,US,Finance,null,null,Implementation Email Configuration Phone,null,1253,null,null,0
2030,prdb-737,US,Finance,null,null,null,null,19438,null,null,0
2036,prdb-743,US,Finance,null,null,Physical Documents,null,1418,null,null,0
2048,prdb-755,US,Finance,null,null,null,null,2009,null,null,0
2055,prdb-762,US,Finance,null,null,null,null,1511,null,null,0
2058,prdb-765,US,Finance,null,null,null,null,1500000,null,null,0
2062,prdb-769,US,Finance,null,null,null,null,18,null,null,0
2079,prdb-786,US,Finance,null,null,null,null,2128,null,null,0
2082,prdb-789,US,Information Technology,null,null,Implementation Email,Physical Theft,163000,null,null,0
2084,prdb-791,US,Consulting Services,null,null,null,null,16500,null,null,0
2089,prdb-796,US,Airport Operations,null,null,null,null,161000,null,null,0
2096,prdb-803,US,Other Services,null,null,null,Physical Theft,19000,null,null,0
2104,prdb-811,US,Utilities,null,null,null,null,15000,null,null,0
2113,prdb-820,US,Legal Services,null,null,null,Physical Theft,1924,null,null,0
2116,prdb-823,US,Warehousing and Storage,null,null,null,null,13000,null,null,0
2120,prdb-827,US,Entertainment,null,null,null,null,13700,null,null,0
2121,prdb-828,US,Manufacturing,null,null,Configuration Phone,null,12000,null,null,0
2123,prdb-830,US,Manufacturing,null,null,null,null,1500,null,null,0
2127,prdb-834,US,Event Organizers,null,null,null,null,2000,null,null,0
2128,prdb-835,US,Information Technology,null,null,null,Physical Theft Spoof Phishing,19000,null,null,0
2145,prdb-852,US,Manufacturing,null,null,Implementation Email,Physical Theft,1510,null,null,0
2153,prdb-860,US,Sport,null,null,Physical Documents,Physical Theft,117,null,null,0
2165,prdb-872,US,Construction,null,null,null,null,123,null,null,0
2169,prdb-876,US,Information Technology,null,null,null,null,150,null,null,0
2170,prdb-877,US,Publisher,null,null,Implementation Email,null,145,null,null,0
2182,prdb-889,US,Medical,null,null,Design Software,null,17000,null,null,0
2190,prdb-897,US,Entertainment,null,null,Implementation Email Configuration Phone,null,1500000,null,null,0
2195,prdb-902,US,Information Technology,null,null,null,null,1425,null,null,0
